Walk #0:
Target Distance: 50, Step Size: 2
0: (x, y) = (0, 0)
1: (x, y) = (1.06572, -1.69241)
2: (x, y) = (2.17594, -3.35596)
3: (x, y) = (3.48328, -4.86952)
4: (x, y) = (5.47201, -4.65749)
5: (x, y) = (5.16356, -6.63356)
6: (x, y) = (7.15409, -6.82793)
7: (x, y) = (9.13876, -6.58072)
8: (x, y) = (7.3093, -7.38885)
9: (x, y) = (7.68756, -9.35275)
10: (x, y) = (7.3267, -7.38558)
11: (x, y) = (9.21466, -6.7256)
12: (x, y) = (8.90622, -8.70167)
13: (x, y) = (8.54536, -6.73449)
14: (x, y) = (7.08497, -5.36801)
15: (x, y) = (8.88471, -4.49568)
16: (x, y) = (7.15117, -3.49826)
17: (x, y) = (8.82935, -4.58625)
18: (x, y) = (8.7674, -2.58721)
19: (x, y) = (6.85208, -3.16302)
20: (x, y) = (7.23034, -5.12692)
21: (x, y) = (8.09464, -3.32332)
22: (x, y) = (7.34356, -1.4697)
23: (x, y) = (7.65207, -3.44577)
24: (x, y) = (5.76408, -2.78584)
25: (x, y) = (3.78409, -2.5036)
26: (x, y) = (4.45242, -4.38863)
27: (x, y) = (2.49737, -4.81025)
28: (x, y) = (4.21295, -3.78224)
29: (x, y) = (3.74817, -1.837)
30: (x, y) = (4.78376, -3.54801)
31: (x, y) = (6.31459, -4.83508)
32: (x, y) = (4.98071, -3.34486)
33: (x, y) = (6.34071, -1.87843)
34: (x, y) = (7.40643, -3.57084)
35: (x, y) = (6.63903, -5.41776)
36: (x, y) = (4.67682, -5.80471)
37: (x, y) = (3.30389, -7.25903)
38: (x, y) = (3.64733, -9.22933)
39: (x, y) = (5.38083, -8.23185)
40: (x, y) = (3.93264, -9.61124)
41: (x, y) = (2.34637, -8.39316)
42: (x, y) = (0.421154, -7.85134)
43: (x, y) = (-1.08669, -6.53742)
44: (x, y) = (0.477734, -5.29139)
45: (x, y) = (2.47742, -5.25599)
46: (x, y) = (3.78466, -3.74234)
47: (x, y) = (3.65199, -1.74675)
48: (x, y) = (4.04756, 0.213743)
49: (x, y) = (2.56321, 1.55416)
50: (x, y) = (1.7149, -0.257026)
51: (x, y) = (3.48263, 0.678464)
52: (x, y) = (2.03444, -0.700931)
53: (x, y) = (2.76908, -2.56112)
54: (x, y) = (2.40821, -0.593946)
55: (x, y) = (4.40814, -0.611588)
56: (x, y) = (3.2254, 1.00121)
57: (x, y) = (3.60366, -0.962691)
58: (x, y) = (4.06837, 0.982569)
59: (x, y) = (3.75993, -0.993504)
60: (x, y) = (3.05839, -2.86643)
61: (x, y) = (1.08371, -3.18367)
62: (x, y) = (2.35035, -1.63589)
63: (x, y) = (1.31481, -3.34693)
64: (x, y) = (2.76305, -4.72628)
65: (x, y) = (0.852884, -4.1336)
66: (x, y) = (2.58639, -3.13613)
67: (x, y) = (2.92982, -5.10642)
68: (x, y) = (0.931781, -5.1949)
69: (x, y) = (0.313736, -3.29279)
70: (x, y) = (0.00529226, -5.26887)
71: (x, y) = (1.84879, -6.04443)
72: (x, y) = (3.29703, -7.42378)
73: (x, y) = (3.25284, -9.42329)
74: (x, y) = (3.45601, -7.43364)
75: (x, y) = (2.34583, -9.09722)
76: (x, y) = (3.01416, -10.9823)
77: (x, y) = (4.77357, -11.9333)
78: (x, y) = (4.58802, -13.9247)
79: (x, y) = (5.94802, -12.4583)
80: (x, y) = (7.57638, -11.297)
81: (x, y) = (5.65606, -11.8559)
82: (x, y) = (6.25724, -13.7634)
83: (x, y) = (7.43993, -12.1506)
84: (x, y) = (9.33369, -12.7938)
85: (x, y) = (10.614, -14.3302)
86: (x, y) = (10.6759, -12.3312)
87: (x, y) = (12.2067, -13.6183)
88: (x, y) = (14.1814, -13.9355)
89: (x, y) = (13.4304, -12.0819)
90: (x, y) = (12.3647, -13.7743)
91: (x, y) = (10.3725, -13.5976)
92: (x, y) = (12.0507, -14.6855)
93: (x, y) = (10.0526, -14.774)
94: (x, y) = (11.6602, -13.5842)
95: (x, y) = (13.2246, -12.3381)
96: (x, y) = (15.1184, -12.9813)
97: (x, y) = (15.1272, -14.9813)
98: (x, y) = (15.1537, -12.9815)
99: (x, y) = (13.1713, -13.2462)
100: (x, y) = (15.1701, -13.1755)
101: (x, y) = (15.2143, -15.175)
102: (x, y) = (13.9204, -13.6499)
103: (x, y) = (12.1207, -12.7776)
104: (x, y) = (14.0954, -13.0948)
105: (x, y) = (12.6594, -11.7027)
106: (x, y) = (14.6282, -12.0548)
107: (x, y) = (14.9716, -14.0251)
108: (x, y) = (15.7878, -12.1992)
109: (x, y) = (13.9443, -12.9748)
